iter	RMSE	MSLE
0	3.17730841	0.2183702741
1	3.176914254	0.2183078691
2	3.17648547	0.2182397278
3	3.176056278	0.2181718256
4	3.175670356	0.2181100725
5	3.17532477	0.218054104
6	3.174970921	0.2179971271
7	3.174605264	0.2179394984
8	3.174253193	0.2178822431
9	3.173867147	0.2178212754
10	3.173522836	0.2177665646
11	3.173180492	0.2177125298
12	3.172842239	0.2176581367
13	3.172459308	0.2175975219
14	3.172085721	0.2175378479
15	3.171726524	0.2174798103
16	3.171386443	0.2174250047
17	3.171134104	0.2173845012
18	3.170766863	0.2173264181
19	3.170449347	0.2172751585
20	3.170107251	0.2172201051
21	3.169747785	0.2171626378
22	3.169428876	0.217112618
23	3.169101391	0.2170608187
24	3.168801854	0.2170136659
25	3.168510909	0.2169675025
26	3.168178435	0.2169140724
27	3.167869686	0.2168657048
28	3.167564341	0.2168161801
29	3.167261974	0.2167686632
30	3.16693824	0.2167167283
31	3.166613382	0.2166647773
32	3.166303358	0.2166172423
33	3.166003118	0.2165695705
34	3.165753303	0.216530477
35	3.16547337	0.2164863173
36	3.165150192	0.2164352865
37	3.164879025	0.2163929076
38	3.164572512	0.2163442856
39	3.164281723	0.2162983777
40	3.164023745	0.2162566998
41	3.163785607	0.216220748
42	3.163509925	0.2161761226
43	3.163250958	0.2161342808
44	3.162973616	0.2160903641
45	3.162695194	0.2160458529
46	3.162424307	0.216002733
47	3.162149494	0.2159597685
48	3.161908094	0.2159217354
49	3.161658456	0.2158851865
50	3.161423227	0.2158479544
51	3.161181832	0.2158112137
52	3.160944396	0.2157747672
53	3.16076769	0.2157460962
54	3.160540856	0.2157104015
55	3.160296492	0.2156713885
56	3.1600869	0.2156387404
57	3.159856743	0.2156026062
58	3.159623491	0.215565937
59	3.159378777	0.215527318
60	3.159135968	0.2154886888
61	3.158871493	0.2154478813
62	3.158654854	0.2154143293
63	3.158450221	0.2153821945
64	3.158209748	0.215345711
65	3.1579844	0.2153110469
66	3.157775882	0.2152790887
67	3.157544108	0.2152433662
68	3.157305431	0.2152080437
69	3.157088825	0.2151744582
70	3.156886677	0.2151433208
71	3.156668005	0.2151100098
72	3.156468087	0.2150780998
73	3.156271495	0.215047285
74	3.156046561	0.2150128133
75	3.155801768	0.2149741536
76	3.155565426	0.214936782
77	3.155331981	0.2149027624
78	3.155133517	0.2148742837
79	3.154932612	0.214842214
80	3.154712577	0.2148078377
81	3.154502695	0.2147755722
82	3.154331339	0.2147486861
83	3.154142675	0.2147193125
84	3.153946327	0.2146895971
85	3.153759939	0.2146595819
86	3.153574272	0.2146311664
87	3.153406865	0.2146069831
88	3.15319028	0.214573408
89	3.152976588	0.2145410277
90	3.152752283	0.2145059117
91	3.152589124	0.2144799171
92	3.152403586	0.2144517937
93	3.152224527	0.2144239484
94	3.152045057	0.2143960104
95	3.151847585	0.2143661997
96	3.151677382	0.2143427169
97	3.151494142	0.2143146155
98	3.151307289	0.214286599
99	3.151148176	0.2142624115
100	3.150982664	0.2142397204
101	3.150812961	0.214214567
102	3.150637083	0.2141863031
103	3.150459507	0.2141596202
104	3.150261458	0.2141288848
105	3.150095716	0.2141029041
106	3.14993064	0.2140778927
107	3.149766689	0.2140536895
108	3.149589877	0.2140261924
109	3.1494216	0.214000497
110	3.149255744	0.213974754
111	3.149092188	0.213950304
112	3.148961092	0.2139298341
113	3.148813381	0.2139075949
114	3.148663842	0.2138853796
115	3.148511143	0.2138634258
116	3.148327384	0.2138349007
117	3.148163852	0.2138091105
118	3.148051186	0.2137904831
119	3.147946535	0.2137732442
120	3.147778318	0.2137477069
121	3.147621894	0.2137235409
122	3.147474301	0.2137021304
123	3.147316669	0.2136774764
124	3.147169148	0.2136579118
125	3.147012798	0.2136347208
126	3.146874605	0.2136138081
127	3.146715676	0.2135896364
128	3.146573099	0.2135695565
129	3.146455527	0.2135525383
130	3.146336093	0.2135353986
131	3.146198156	0.2135144122
132	3.14606874	0.2134945646
133	3.145947961	0.2134765712
134	3.145793684	0.213453941
135	3.145636738	0.2134307364
136	3.145533374	0.2134166644
137	3.145422599	0.2134018403
138	3.145296976	0.2133852516
139	3.145172829	0.2133668472
140	3.145071621	0.213351047
141	3.144939264	0.2133335035
142	3.144790107	0.2133113139
143	3.144655505	0.2132915669
144	3.144556705	0.2132766137
145	3.144410648	0.2132549476
146	3.144283875	0.2132379847
147	3.144163819	0.2132193279
148	3.144021603	0.2131977687
149	3.143904705	0.2131802049
150	3.14378114	0.213161824
151	3.143675803	0.2131477915
152	3.143561432	0.2131300604
153	3.143451852	0.2131138671
154	3.143325302	0.2130952458
155	3.143231141	0.2130824051
156	3.143115973	0.2130644148
157	3.143000334	0.2130471421
158	3.142889789	0.2130309398
159	3.142777379	0.2130133389
160	3.142663601	0.2129960437
161	3.142546339	0.2129798954
162	3.142415785	0.2129607871
163	3.142314338	0.2129474021
164	3.142211978	0.2129324936
165	3.142122268	0.2129208257
166	3.141979518	0.2128993837
167	3.141850927	0.2128807545
168	3.141762366	0.212869745
169	3.141639909	0.2128509082
170	3.14153406	0.2128355568
171	3.141401951	0.2128163877
172	3.141286944	0.2127994624
173	3.141173904	0.21278224
174	3.141080469	0.2127680543
175	3.14097972	0.2127528679
176	3.14092569	0.2127448281
177	3.140831303	0.2127313324
178	3.140734538	0.2127163765
179	3.140628332	0.2127015441
180	3.140525914	0.212688221
181	3.140418264	0.2126717874
182	3.140328206	0.2126594306
183	3.140256957	0.2126504604
184	3.140136879	0.2126327606
185	3.140017514	0.2126147643
186	3.139930103	0.2126023635
187	3.1398388	0.2125885694
188	3.139738448	0.2125740203
189	3.139666895	0.2125636332
190	3.139588723	0.2125529489
191	3.139507014	0.212540503
192	3.139432356	0.212529213
193	3.139316626	0.2125122991
194	3.139236451	0.2125023842
195	3.139133926	0.2124882852
196	3.139047025	0.212476131
197	3.138968122	0.2124648881
198	3.138880681	0.2124521253
199	3.138790161	0.2124407752
200	3.138684854	0.2124260975
201	3.138595456	0.2124132658
202	3.138500756	0.2123993435
203	3.138410882	0.2123877679
204	3.138322353	0.2123752643
205	3.138217867	0.2123603595
206	3.138145106	0.2123511998
207	3.138070095	0.2123408113
208	3.138011729	0.2123338098
209	3.13791229	0.2123217726
210	3.137823497	0.2123097915
211	3.137723604	0.2122953638
212	3.13766562	0.2122877587
213	3.137577373	0.2122746793
214	3.137480555	0.2122610985
215	3.137407331	0.2122519311
216	3.137292727	0.2122367857
217	3.137214371	0.2122260713
218	3.137152848	0.2122178501
219	3.13705344	0.2122035866
220	3.13694816	0.2121892541
221	3.136869139	0.2121790287
222	3.136779585	0.2121669916
223	3.136699541	0.2121558817
224	3.136638213	0.2121467263
