iter	Passed	Remaining
0	5	5727
1	13	6975
2	21	7013
3	29	7239
4	36	7256
5	44	7414
6	52	7392
7	58	7268
8	66	7311
9	74	7377
10	83	7473
11	91	7497
12	98	7493
13	106	7526
14	114	7487
15	119	7338
16	126	7334
17	134	7347
18	142	7349
19	149	7328
20	157	7328
21	164	7305
22	172	7340
23	180	7333
24	188	7348
25	196	7356
26	204	7379
27	211	7343
28	219	7348
29	227	7361
30	234	7341
31	242	7339
32	250	7346
33	258	7347
34	266	7347
35	274	7351
36	282	7361
37	290	7356
38	298	7350
39	306	7365
40	315	7368
41	322	7358
42	330	7352
43	337	7341
44	345	7329
45	353	7330
46	361	7329
47	369	7336
48	377	7333
49	385	7331
50	393	7323
51	401	7319
52	409	7310
53	417	7316
54	425	7307
55	433	7315
56	441	7299
57	448	7289
58	456	7277
59	465	7287
60	473	7287
61	482	7303
62	491	7311
63	500	7323
64	509	7334
65	518	7333
66	527	7345
67	536	7349
68	545	7361
69	555	7381
70	566	7413
71	583	7526
72	600	7620
73	615	7699
74	623	7687
75	630	7667
76	638	7652
77	646	7645
78	656	7649
79	664	7638
80	672	7628
81	679	7605
82	687	7593
83	692	7549
84	700	7536
85	708	7528
86	717	7529
87	726	7533
88	736	7540
89	749	7576
90	758	7578
91	768	7585
92	777	7586
93	787	7585
94	800	7626
95	817	7693
96	835	7781
97	853	7858
98	862	7845
99	871	7844
100	887	7899
101	896	7896
102	907	7902
103	916	7896
104	927	7901
105	934	7878
106	941	7858
107	949	7839
108	955	7808
109	964	7803
110	992	7949
111	1001	7939
112	1012	7946
113	1020	7931
114	1037	7981
115	1053	8024
116	1059	7998
117	1066	7971
118	1074	7953
119	1081	7932
120	1089	7914
121	1098	7906
122	1104	7873
123	1111	7854
124	1120	7842
125	1128	7826
126	1136	7812
127	1145	7801
128	1152	7783
129	1160	7769
130	1169	7758
131	1178	7749
132	1186	7736
133	1194	7718
134	1203	7712
135	1215	7721
136	1225	7716
137	1233	7707
138	1243	7701
139	1251	7687
140	1260	7678
141	1270	7675
142	1280	7672
143	1289	7663
144	1298	7653
145	1307	7645
146	1316	7640
147	1325	7631
148	1334	7624
149	1344	7619
150	1354	7616
151	1366	7623
152	1376	7622
153	1387	7619
154	1396	7615
155	1404	7600
156	1415	7599
157	1426	7600
158	1440	7616
159	1449	7611
160	1460	7611
161	1473	7622
162	1496	7682
163	1519	7745
164	1538	7785
165	1562	7850
166	1570	7835
167	1578	7817
168	1587	7807
169	1602	7824
170	1620	7857
171	1670	8040
172	1691	8086
173	1702	8079
174	1719	8107
175	1736	8128
176	1757	8171
177	1775	8197
178	1791	8216
179	1802	8210
180	1811	8198
181	1822	8191
182	1832	8180
183	1840	8163
184	1849	8147
185	1856	8126
186	1865	8111
187	1873	8090
188	1881	8073
189	1908	8138
190	1944	8238
191	1967	8279
192	2010	8405
193	2019	8389
194	2029	8379
195	2050	8409
196	2073	8451
197	2089	8463
198	2102	8463
199	2110	8443
200	2119	8426
201	2128	8408
202	2135	8384
203	2143	8364
204	2150	8340
205	2158	8319
206	2165	8297
207	2173	8274
208	2180	8253
209	2187	8229
210	2195	8210
211	2205	8196
212	2212	8174
213	2218	8147
214	2222	8114
215	2226	8082
216	2232	8054
217	2238	8031
218	2244	8002
219	2249	7974
220	2254	7947
221	2259	7917
222	2264	7891
223	2270	7865
224	2275	7837
225	2280	7808
226	2284	7779
227	2288	7749
228	2293	7721
229	2298	7694
230	2302	7666
231	2308	7643
232	2314	7620
233	2321	7598
234	2327	7577
235	2332	7551
236	2337	7525
237	2342	7500
238	2351	7487
239	2360	7473
240	2367	7456
241	2374	7435
242	2380	7415
243	2385	7390
244	2391	7368
245	2395	7341
246	2399	7314
247	2403	7288
248	2407	7262
249	2412	7236
250	2415	7209
251	2420	7183
252	2424	7157
253	2428	7131
254	2433	7109
255	2439	7089
256	2444	7066
257	2449	7043
258	2455	7023
259	2460	7002
260	2465	6980
261	2472	6963
262	2478	6944
263	2484	6925
264	2489	6905
265	2494	6884
266	2502	6868
267	2507	6847
268	2512	6826
269	2517	6807
270	2522	6786
271	2526	6761
272	2529	6735
273	2533	6712
274	2536	6686
